FDID,Fire dept name,Mail addr1,Mail addr2,Mail PO box,Mail city,Mail state,Mail zip,HQ phone,HQ fax,County
MQ135,Chapin Rural Fire Association,714 Congress ST,,,Chapin,IL,62628-4120,217-427-8009,,MORGAN
46002,Chapman Fire & Rescue,207 Ninth ST,,PO Box 88,Chapman,NE,68827-0088,308-986-2282,,MERRICK
DK304,Chapman Fire Department,402 N Marshall,PO Box 321,,Chapman,KS,67431,785-922-6582,785-922-7000,DICKINSON
18027,Chapman Township Volunteer Fire Company 1,79 Park AVE,,PO Box 494,North Bend,PA,17760,570-923-0399,,CLINTON
23101,Chapmanville Volunteer Fire Department,PO Box 1634,,PO Box 1634,Chapmanville,WV,25508-1634,304-855-4543,304-855-4543,LOGAN
60008,Chappaqua Volunteer Fire Department,PO Box 454,,PO Box 454,Chappaqua,NY,10514-0454,914-238-0819,914-238-0819,WESTCHESTER
78002,Chappell Volunteer Fire Departmnet,PO Box 874,,PO Box 874,Chappell,NE,69129-0874,308-874-3210,,DEUEL
36210,Chappells Volunteer Fire Department Station #10,3218 SC Highway 39,,,Chappells,SC,29037-9706,864-995-4243,,NEWBERRY
28005,Chardon Fire Department,110 S Hambden ST,,,Chardon,OH,44024-1219,440-285-4665,440-285-8320,GEAUGA
59001,Chariton Volunteer Fire Department,PO Box 804,,PO Box 804,Chariton,IA,50049-0804,641-774-2516,641-774-4111,LUCAS
6516,Charity Chapel Volunteer Fire Department,PO Box 69,,PO Box 69,Citronelle,AL,36522-0069,251-866-2070,,WASHINGTON
11053,Charlemont Fire Department,PO Box 264,,PO Box 264,Charlemont,MA,01339-0264,413-339-4460,413-339-4942,FRANKLIN
63033,Charleroi Fire Department,328 Fallowfield AVE,,,Charleroi,PA,15022-1405,724-483-7311,724-483-3230,WASHINGTON
34001,Charles City Fire Department,704 S Grand AVE,,,Charles City,IA,50616-3731,641-257-6313,641-257-1170,FLOYD
3601,"Charles City Volunteer Fire & EMS, Inc.",7100 Adkins RD,,,Charles City,VA,23030-3027,804-829-9228,804-829-5754,CHARLES CITY
6705,Charleston Department of Public Safety,204 N Main ST,,,Charleston,MO,63834,573-683-3737,573-683-6131,MISSISSIPPI
CJ121,Charleston Fire Department,1510 A ST,,,Charleston,IL,61920-3321,217-345-8441,217-345-8443,COLES
10302,Charleston Fire Department,1451 King ST EXT,,,Charleston,SC,29405-9329,843-720-1981,843-720-3991,CHARLESTON
20205,Charleston Fire Department,PO Box 2749,,PO Box 2749,Charleston,WV,25330-2749,304-348-8137,304-348-0731,KANAWHA
68001,Charleston Fire Department,36 S Square ST,,,Charleston,MS,38921,662-647-8433,662-647-8768,TALLAHATCHIE
53,Charleston Rural Fire Protection District,92342 Cape Arage HWY,,,Coos Bay,OR,97420-8745,541-888-3268,541-888-3269,COOS
10135,Charleston Volunteer Fire Department,7113 VT RT 105,,PO Box 106,East Charleston,VT,05833-0106,802-723-4104,802-723-5001,ORLEANS
84891,Charleston Volunteer Fire Department,269 Charleston Gin RD,,,Stanton,TN,38069-7001,901-476-4300,901-476-4300,TIPTON
24002,Charleston Volunteer Fire Department,PO Box 426,,PO Box 426,Charleston,AR,72933-0426,479-965-2269,,FRANKLIN
J1760,Charleston Volunteer Fire Department,PO Box 30,,PO Box 30,Charleston,ME,04422-0030,207-285-3860,207-285-3638,PENOBSCOT
54828,Charleston Volunteer Fire Department,3680 Charleston RD,,,Dawson Springs,KY,42408,000-000-0000,,HOPKINS
29005,Charleston Volunteer Fire Department,1412 E Lykers RD,,,Sprakers,NY,12166-4628,518-922-6706,,MONTGOMERY
7005,Charlestown Fire Company,PO Box 111,,PO Box 111,Charlestown,MD,21914-0111,410-287-6451,410-287-7281,CECIL
67103,Charlestown Fire Department,6368 Rockspring RD,,,Ravenna,OH,44266-9610,330-296-7003,330-296-6140,PORTAGE
90290,Charlestown Fire Department,1 Main ST,,PO Box 304,Charlestown,NH,3603,603-826-3311,603-826-3568,SULLIVAN
501,Charlestown Fire District,PO Box 327,,PO Box 327,Charlestown,RI,02813-0327,401-364-9117,401-364-6521,WASHINGTON
10002,Charlestown Volunteer Fire Department,PO Box 235,,PO Box 235,Charlestown,IN,47111-0235,812-256-6202,812-256-2094,CLARK
1503,Charlevoix Fire Department,210 State ST,,,Charlevoix,MI,49720-1345,231-547-3279,231-547-3266,CHARLEVOIX
CD307,Charlie Thornberry Volunteer Fire Department,14320 W FM 171,,,Wichita Falls,TX,76305-2209,940-544-2410,,CLAY
53021,Charlotte County Fire & EMS,26571 Airport RD,,,Punta Gorda,FL,33982-2414,941-833-5600,941-833-5630,CHARLOTTE
3702,Charlotte Court House Fire Department,350 George Washington HWY,,PO Box 246,Charlotte Court House,VA,23923,434-542-4368,434-542-4368,CHARLOTTE
4138,Charlotte Fire and Rescue Services,PO Box 85,,PO Box 85,Charlotte,VT,05445-0085,802-425-3111,802-425-6515,CHITTENDEN
AH404,Charlotte Fire Department,PO Box 714,,PO Box 714,Charlotte,TX,78011-0714,830-277-1414,830-277-1632,ATASCOSA
2303,Charlotte Fire Department,111 E Lawrence AVE,,,Charlotte,MI,48813-1573,517-543-0241,,EATON
23004,Charlotte Fire Department,102 Charles ST,,PO Box 222,Charlotte,IA,52731,563-677-2710,563-677-2959,CLINTON
32013,Charlotte Fire Department,7320 White DR,,,Charlotte,AR,72522-9722,870-799-3676,,INDEPENDENCE
6002,Charlotte Fire Department,500 Dalton AVE,,,Charlotte,NC,28206-3031,704-336-4174,704-336-4170,MECKLENBURG
29205,Charlotte Road/ Van Wyck Fire Department,4455 Old Hickory RD,,,Lancaster,SC,29720-7704,803-285-4281,803-285-4281,LANCASTER
28207,Charlotte Thompson Fire Department,515 Walnut ST,,,Camden,SC,29020-3649,803-425-1522,,KERSHAW
P1170,Charlotte Volunteer Fire Department,1100 Ayers JCT RD,,,Charlotte,ME,4666,207-454-8406,207-454-0218,WASHINGTON
54000,Charlottesville Fire Department,203 Ridge ST,,PO Box ,Charlottesville,VA,22902,434-970-3240,434-295-1127,CHARLOTTESVILLE CITY
54098,Charlottesville-Albemarle Rescue Squad (Albemarle County Fire & Rescue),828 McIntire RD,,,Charlottesville,VA,22902-4360,434-296-4825,434-296-3218,ALBEMARLE
48004,Charlotteville Fire Department,PO Box 122,,PO Box 122,Charlotteville,NY,12036-0122,607-397-8125,607-397-8125,SCHOHARIE
2401,Charlton County Fire Rescue,68 Kingsland DR STE B,,,Folkston,GA,31537-2872,912-496-3111,912-496-3111,CHARLTON
27054,Charlton Fire Department,PO Box 114,,PO Box 114,Charlton City,MA,01508-0114,508-248-2299,508-248-6190,WORCESTER
46005,Charlton Volunteer Fire Department,PO Box 1369,,PO Box 1369,Ballston Lake,NY,12019-0369,518-399-1967,,SARATOGA
48043,Charotin Hose Company,PO Box 23,,PO Box 23,Catasauqua,PA,18032-0023,610-266-1969,610-264-0158,NORTHAMPTON
24004,Charter Oak Fire Department,453 Railroad ST,,PO Box 56,Charter Oak,IA,51439,712-678-3580,712-678-3709,CRAWFORD
2508,Charter Township of Flint Fire Department,G-5331 Reuben DR,,,Flint,MI,48532-4049,810-732-4413,810-230-7293,GENESEE
7406,Charter Township of Fort Gratiot Fire Department,3720 Keewahdin RD,,,Fort Gratiot,MI,48059-3309,810-385-5666,810-385-7813,SAINT CLAIR
2511,Charter Township of Genesee Fire Station #1,PO Box 215,,PO Box 215,Genesee,MI,48437-0215,810-640-1720,810-640-1739,GENESEE
8307,Charter Township of Haring Fire Department,515 Bell AVE,,,Cadillac,MI,49601-1109,231-775-7319,231-468-3066,WEXFORD
2518,Charter Township of Mundy Fire Department,3478 Mundy AVE,,,Swartz Creek,MI,48473,810-655-8515,810-655-5215,GENESEE
11703,Chase City Volunteer Fire Department,PO Box 595,,PO Box 595,Chase City,VA,23924-0595,434-372-3395,434-372-8610,MECKLENBURG
RC310,Chase Volunteer Fire Department,PO Box 306,,PO Box 306,Chase,KS,67524-0306,620-562-7962,620-257-3909,RICE
3707,Chaserville-Massee Volunteer Fire Department,8589 Barneyville RD,,,Sparks,GA,31647-4330,229-549-7672,,COOK
10103,Chaska Fire Department,285 Engler BLVD,,,Chaska,MN,55318,952-448-2990,952-448-5264,CARVER
3104,Chassell Volunteer Fire Department,PO Box 438,,PO Box 438,Chassell,MI,49916-0438,906-481-4000,906-481-6133,HOUGHTON
17005,"Chateaugay Fire Company, Inc.",2 Lake ST,,PO Box 911,Chateaugay,NY,12920-0911,518-497-3135,518-497-3135,FRANKLIN
23102,Chatfield Fire Department,21 Second ST,,,Chatfield,MN,55923-1296,507-867-3810,507-867-9093,FILLMORE
SH204,Chatfield Volunteer Fire Department,PO Box 95,,PO Box 95,Chatfield,TX,75105-0095,903-345-6342,,NAVARRO
14040,Chatham Borough Fire Department,1 Firehouse PLZ,,,Chatham,NJ,07928-2341,973-635-9090,973-701-1823,MORRIS
2505,Chatham Emergency Services,1399 Dean Forest RD,,,Savannah,GA,31405-9307,912-354-1011,912-354-1294,CHATHAM
SB148,Chatham Fire Department,1 Firemans SQ,,,Chatham,IL,62629-1378,217-483-2121,217-483-4411,SANGAMON
11004,Chatham Fire Department,10 Hoffman ST,,,Chatham,NY,12037,518-392-2751,518-392-1002,COLUMBIA
1055,Chatham Fire Rescue Department,135 Depot RD,,,Chatham,MA,02633-2011,508-945-2324,508-945-5120,BARNSTABLE
59017,Chatham Township Volunteer Fire Company,1575 Blair Creek RD,,,Little Marsh,PA,16950-9780,570-376-3100,,TIOGA
14050,Chatham Township Volunteer Fire Department,495 River RD,,,Chatham,NJ,07928-1229,973-635-8061,973-635-2828,MORRIS
52103,Chatham Volunteer Fire & Rescue Department,6429 Kohli DR,,,Spencer,OH,44275-9721,330-667-2372,330-667-9171,MEDINA
14311,Chatham Volunteer Fire Department,PO Box 192,,PO Box 192,Chatham,VA,24531-0192,434-432-1516,434-432-0573,PITTSYLVANIA
6503,Chatom Volunteer Fire Department,PO Box 1115,,PO Box 1115,Chatom,AL,36518-1115,251-847-2580,251-847-3669,WASHINGTON
10502,Chatsworth Fire Department,PO Box 516,,PO Box 516,Chatsworth,GA,30705-0516,706-695-7600,706-517-5683,MURRAY
LE123,Chatsworth Fire Protection District,PO Box 87,,PO Box 87,Chatsworth,IL,60921-0087,815-635-3636,,LIVINGSTON
16002,Chattanooga Fire - Rescue,PO Box 165,,PO Box 165,Chattanooga,OK,73528-0165,580-597-3390,580-597-3039,COMANCHE
33512,Chattanooga Fire Department,910 Wisdom ST,,,Chattanooga,TN,37406-1750,423-643-5600,423-643-5610,HAMILTON
29101,Chattaroy Volunteer Fire Department,PO Box 240,,PO Box 240,Chattaroy,WV,25667-0240,304-235-2288,,MINGO
2703,Chattoogaville Volunteer Fire Department,PO Box 13,,PO Box 13,Lyerly,GA,30730-0013,706-895-3016,,CHATTOOGA
23013,Chaumont Volunteer Fire Department,PO Box 158,,PO Box 158,Chaumont,NY,13622,315-649-2410,315-649-2076,JEFFERSON
4509,Chauncey Volunteer Fire Department,PO Box 28,,PO Box 28,Chauncey,GA,31011-0028,229-868-2296,229-868-2296,DODGE
5009,Chauncey-Dover Volunteer Fire Department,40 Converse ST,,PO Box 224,Chauncey,OH,45719-0224,740-797-2600,740-797-2702,ATHENS
7211,Chautauqua County Airport,3163 Airport DR,,,Jamestown,NY,14701-9718,716-484-0204,716-487-1322,CHAUTAUQUA
CQ301,Chautauqua County Fire District #1,PO Box 362,,PO Box 362,Cedar Vale,KS,67024,620-758-2567,,CHAUTAUQUA
7007,Chautauqua Fire Department,PO Box F,,PO Box F,Chautauqua,NY,14722-2206,716-357-3473,716-357-2068,CHAUTAUQUA
5015,Chaves County Fire Department,PO Box 628,,PO Box 628,Dexter,NM,88230-0628,505-734-5401,505-734-5413,CHAVES
10007,Chazy Volunteer Fire Department,PO Box 116,,PO Box 116,Chazy,NY,12921-0116,518-846-7326,518-846-8957,CLINTON
8033,Cheadle Volunteer Fire Company,PO Box 77,,PO Box 77,Grass Range,MT,59032-0077,406-428-2362,,FERGUS
1809,Cheaha Limited Volunteer Fire Department,19644 HWY 281,,,Delta,AL,36258,256-488-5111,256-488-5885,CLAY
31104,Cheat Lake Volunteer Fire Department,714 Venture Drive #216,,,Morgantown,WV,26508-7306,304-594-1223,,MONONGALIA
11141,Cheatham County Emergency Management Agency,100 Public SQ STE 90,,,Ashland City,TN,37015,615-792-3443,615-792-2077,CHEATHAM
IA153,Chebanse Township Fire Department,PO Box 666,,PO Box 666,Clifton,IL,60927-0666,815-694-2441,815-694-2441,IROQUOIS
1602,Cheboygan Fire Department,403 N Huton ST,PO Box 39,,Cheboygan,MI,49721,231-627-9931,231-627-7790,CHEBOYGAN
49001,Checotah Volunteer Fire Department,414 W Gentry AVE,,,Checotah,OK,74426,918-473-5411,918-473-6302,MCINTOSH
4212,Cheddar Fire Department,13715 Highway 20,,,Belton,SC,29627-8678,864-260-4016,864-260-4015,ANDERSON
NH304,Cheek Volunteer Fire Department,8523 Kidd RD,,,Beaumont,TX,77713-3065,409-794-1872,,JEFFERSON
12209,Cheesequake Volunteer Fire Company,PO Box 332,,PO Box 332,Matawan,NJ,7747,732-727-2517,732-727-2517,MONMOUTH
27122,Chefornak Volunteer Fire Department,PO Box 110,,PO Box 110,Chefornak,AK,99561,907-867-8610,907-867-8711,BETHEL
21M02,Chehalis Fire Department,455 NW Park ST,,,Chehalis,WA,98532,360-748-3394,360-345-1258,LEWIS
04D04,Chelan County Fire District # 4,2100 Cayuse ST,,,Plain,WA,98826,509-763-3581,509-762-0221,CHELAN
04D03,Chelan County Fire District #3,228 Chumstick HWY,,,Leavenworth,WA,98826-9229,509-548-7711,509-508-0307,CHELAN
04D05,Chelan County Fire District #5,PO Box D,,PO Box D,Manson,WA,98831-0438,509-687-3222,509-687-6022,CHELAN
04D01,Chelan County Fire District 1,PO Box 2106,,PO Box 2106,Wenatchee,WA,98807-2106,509-662-4734,509-662-3967,CHELAN
04D07,Chelan County Fire Protection District 7,PO Box 1317,,PO Box 1317,Chelan,WA,98816-1317,509-682-4476,,CHELAN
04D09,Chelan County Fire Protection District 9,21696 Lake Wenatchee HWY,,,Leavenworth,WA,98826,509-763-3034,509-763-8800,CHELAN
17056,Chelmsford Fire Department,50 Billerica RD,,,Chelmsford,MA,01824-3102,978-250-5267,978-250-5269,MIDDLESEX
8104,Chelsea Area Fire Authority,200 W Middle ST,,,Chelsea,MI,48118-1506,734-475-8755,734-475-1967,WASHTENAW
5812,Chelsea Fire and Rescue,160 Chesser DR,,,Chelsea,AL,35043-8328,205-678-6060,,SHELBY
F1780,Chelsea Fire Department,560 Togus RD,,,Chelsea,ME,4330,207-582-4802,,KENNEBEC
86001,Chelsea Fire Department,707 Station ST,,,Chelsea,IA,52215-9013,641-489-2112,,TAMA
25057,Chelsea Fire Department,307 Chestnut ST,,,Chelsea,MA,02150-3844,617-466-4600,617-466-4615,SUFFOLK
66002,Chelsea Fire Department,637 Olive ST STE B,,,Chelsea,OK,74016-1807,918-789-3451,918-789-3626,ROGERS
9141,Chelsea Fire Department,PO Box 264,,PO Box 264,Chelsea,VT,05038-0264,802-685-3112,,ORANGE
14005,Chelsea Fire District,15 Liberty  ST,PO Box 128,PO Box ,Chelsea,NY,12512,845-831-6244,845-831-6244,DUTCHESS
54,Chemult Rural Fire Protection District,PO Box 97,,PO Box 97,Chemult,OR,97731-0097,541-355-2255,,KLAMATH
31900,Chena-Goldstream Fire & Rescue,PO Box 80487,,PO Box 80487,Fairbanks,AK,99708-0487,907-479-5672,907-479-5858,FAIRBANKS NORTH STAR
4005,Chenango Bridge Fire Company Inc.,PO Box 12,,PO Box 12,Chenango Bridge,NY,13745-0012,607-648-5742,607-648-5766,BROOME
4003,"Chenango Fire Company, Inc.",86 Castle Creek RD,,,Binghamton,NY,13901-1044,607-772-8212,607-772-8516,BROOME
4006,"Chenango Forks Volunteer Fire Company, Inc.",PO Box 139,,PO Box 139,Chenango Forks,NY,13746-0139,607-648-4136,607-648-9956,BROOME
32M02,Cheney Fire Department,611 4th ST,,,Cheney,WA,99004-1617,509-498-9291,509-498-9244,SPOKANE
SG306,Cheney Volunteer Fire Department,PO Box I,,PO Box I,Cheney,KS,67025,316-542-3155,315-542-0185,SEDGWICK
10065,Chennault Fire Department,PO Box 19215,,PO Box 19215,Lake Charles,LA,70616-9215,337-433-6699,337-494-0108,CALCASIEU
MK174,Chenoa Community Fire Protection District,PO Box 32,,PO Box 32,Chenoa,IL,61726-0032,815-945-3231,815-945-7805,MCLEAN
1301,Chepachet Fire Department,PO Box 755,,PO Box 755,Chepachet,RI,02814-0997,401-568-5200,401-568-6100,PROVIDENCE
13302,Cheraw Fire Department,12 Chesterfield HWY,,,Cheraw,SC,29520-3102,843-537-5941,843-537-8417,CHESTERFIELD
13114,Cheriton Volunteer Fire Company,PO Box 41,,PO Box 41,Cheriton,VA,23316,757-331-1555,,NORTHAMPTON
2801,Cherokee County Fire & Emergency Services,150 Chattin DR,,,Canton,GA,30115-8249,678-493-4000,678-493-4034,CHEROKEE
CK409,Cherokee County Fire Dist. No. 1 (Lola Township),9211 SW Pelican LN,,,Columbus,KS,66725-6094,620-404-0651,,CHEROKEE
11204,Cherokee Creek Volunteer Fire Department,455 Buck Shoals RD,,,Gaffney,SC,29341-4306,864-489-0172,864-489-0172,CHEROKEE
CR306,Cherokee Fire Department,PO Box 201,,PO Box 201,Cherokee,KS,66724-0201,620-457-8300,620-457-8300,CRAWFORD
18002,Cherokee Fire Department,300 W Elm ST,,,Cherokee,IA,51012-1809,712-225-3906,712-225-2526,CHEROKEE
2006,Cherokee Fire Department,121 N Grand Ave,,,Cherokee,OK,73728,580-596-3326,580-596-2878,ALFALFA
18003,Cherokee MHI Fire Department,1251 W Cedar  LOOP,,,Cherokee,IA,51012-1566,712-225-2594,,CHEROKEE
,Cherokee National Forest,1700  Bypass Road,,,Winchester,KY,40391,859-745-3192,859-744-7086,CLARK
6202,Cherokee Pass Volunteer Fire Department,PO Box 206,,PO Box 206,Fredericktown,MO,63645-0206,573-783-3346,,MADISON
42205,Cherokee Springs Fire District,201 Flatwood DR,,,Chesnee,SC,29323-8463,864-578-9651,864-578-4652,SPARTANBURG
CK408,Cherokee Township Volunteer Fire Department,102 N McKinley ST,,,Weir,KS,66781-9203,000-000-0000,,CHEROKEE
68600,Cherokee Village Fire Department,1 Baseheart RD,,,Cherokee Village,AR,72529-2130,870-257-2304,870-257-3763,SHARP
VG201,Cherokee Volunteer Fire Department,200 S Hwy 16,Box 293,PO Box ,Cherokee,TX,76832,325-622-4681,,SAN SABA
2806,Cherry Capital Airport Fire Department,1330 Airport Access RD,,,Traverse City,MI,49684,231-947-9190,231-947-9195,GRAND TRAVERSE
2260,Cherry City Volunteer Fire Company,309 Davis AVE,,,Pittsburgh,PA,15209-1803,412-822-7000,412-821-7047,ALLEGHENY
7008,Cherry Creek Fire Department,PO Box 204,,PO Box 204,Cherry Creek,NY,14723-0204,716-296-5757,716-296-5757,CHAUTAUQUA
93151,Cherry Creek Volunteer Fire Department,422 Bob Davis RD,,,Sparta,TN,38583-3636,931-836-2421,,WHITE
BD143,Cherry Fire Protection District,PO Box 171,,PO Box 171,Cherry,IL,61317-0171,815-894-2525,815-894-3695,BUREAU
52018,Cherry Grove Fire Department,PO Box 4173,,PO Box 4173,Cherry Grove,NY,11782-0995,631-597-6697,631-597-9204,SUFFOLK
8306,Cherry Grove Fire Department,4830 M 55,,,Cadillac,MI,49601-9332,231-775-6012,231-775-0037,WEXFORD
62066,Cherry Grove Volunteer Fire Department,RD 1 Box 1082,,,Clarendon,PA,16313,814-968-3511,,WARREN
1708,Cherry Grove Volunteer Fire Department,7404 Cherry Grove RD,,,Reidsville,NC,27320,336-421-0202,,ROCKINGHAM
4130,Cherry Hill Fire Department,1100 Marlkress RD,,,Cherry Hill,NJ,08003-2340,856-795-9752,856-795-4557,CAMDEN
57006,Cherry Hill Rural Volunteer Fire Department #7,259 Polk 661,,,Mena,AR,71953-8254,479-394-7412,,POLK
53007,Cherry Hill Volunteer Fire Department,64 Cherry Hill LOOP,,,Perryville,AR,72126-8741,501-889-5300,,PERRY
35031,"Cherry Lake Fire & Rescue, Inc.",2612 NE Cherry Lake CIR,,,Pinetta,FL,32350-2147,850-929-2354,,MADISON
305,Cherry Lane Volunteer Fire Department,PO Box 162,,PO Box 162,Roaring Gap,NC,28668,336-363-2623,336-363-3577,ALLEGHANY
8106,Cherry Mountain Volunteer Fire Department,6306 Bostic/Sunshine HWY,,,Bostic,NC,28018,828-245-1935,,RUTHERFORD
2502,Cherry Point Fire Department,BLDG 193 F ST,PSC 8035,,MCAS Cherry Point,NC,28533,252-466-2351,252-466-3371,CRAVEN
19000,Cherry Valley Fire Department,PO Box 130,,PO Box 130,Cherry Valley,AR,72324,870-588-4439,870-588-4311,CROSS
39001,Cherry Valley Fire Department,PO Box 502,,PO Box 502,Cherry Valley,NY,13320-0502,607-264-8221,,OTSEGO
WJ124,Cherry Valley Fire Protection District,PO Box 540,,PO Box 540,Cherry Valley,IL,61016-0540,815-332-5382,815-332-3159,WINNEBAGO
69113,Cherry Volunteer Fire and Rescue Department,3992 River Road,,PO Box ,Cherry,MN,55751,218-263-8741,,SAINT LOUIS
,Cherrydale Volunteer Fire Department,3900 Lee HWY,,PO Box ,Arlington,VA,22207,703-525-9418,,ARLINGTON
P1790,Cherryfield Volunteer Fire Department,Blackwoods RD,,PO Box 507,Cherryfield,ME,4622,207-564-7416,,WASHINGTON
32240,Cherryhill Township Volunteer Fire Company,1442 N Harmony RD,,PO Box 305,Penn Run,PA,15765-0305,724-349-3530,724-349-8407,INDIANA
61002,Cherrytree Township Volunteer Fire Department,PO Box 343,,PO Box 343,Titusville,PA,16354-0343,814-827-1613,814-827-1318,VENANGO
MG204,Cherryvale Fire Department,116 S Neosho ST,,,Cherryvale,KS,67335-2018,620-336-2121,620-336-2220,MONTGOMERY
64781,Cherryville Fire &Rescue Dept,6209 Hwy 1690,,,Louisa,KY,41230,606-673-3311,,LAWRENCE
3607,Cherryville Fire Department,411 E Church ST,,,Cherryville,NC,28021-2110,704-435-1730,704-435-2430,GASTON
7307,Chesaning Brady Fire Department,1632 Brady ST,,,Chesaning,MI,48616-1086,989-845-2552,989-845-5353,SAGINAW
55000,Chesapeake Fire Department,304 Albemarle DR,,,Chesapeake,VA,23322-5502,757-382-6297,757-382-8313,CHESAPEAKE CITY
20114,Chesapeake Volunteer Fire Department,12408 McCorkle AVE,,,Chesapeake,WV,25315-1225,304-949-2332,304-949-1980,KANAWHA
44133,Chesapeake-Union Township Volunteer Fire Department,PO Box 579,,PO Box 579,Chesapeake,OH,45619-0579,740-867-5988,740-867-5988,LAWRENCE
6050,"Cheshire Fire Department, Inc.",250 Maple AVE,,,Cheshire,CT,06410-2505,203-272-1828,203-272-7314,NEW HAVEN
3058,Cheshire Volunteer Fire Department,PO Box 598,,PO Box 598,Cheshire,MA,01225-0598,413-743-3387,413-743-3145,BERKSHIRE
35004,Cheshire Volunteer Fire Department,4285 State RTE 21,,,Canandaigua,NY,14424-8937,585-394-1133,585-394-8444,ONTARIO
42206,Chesnee Community Volunteer Fire Department,PO Box 542,,PO Box 542,Chesnee,SC,29323-0542,864-461-2900,864-461-4144,SPARTANBURG
12114,Chester County Fire Department,282 S Church AVE,,,Henderson,TN,38340-2638,731-983-5570,731-989-8012,CHESTER
45001,Chester Fire Department,PO Box 86,,PO Box 86,Chester,IA,52134-0086,563-565-2768,563-565-2768,HOWARD
36004,Chester Fire Department,81 Main ST,PO Box 612,,Chester,NY,10918-0612,845-469-7936,845-469-0989,ORANGE
70530,Chester Fire Department,27 Murphy DR,,PO Box 30,Chester,NH,3036,603-887-3878,603-887-6662,ROCKINGHAM
13059,Chester Fire Department,300 RTE 20,,PO Box 8,Chester,MA,1011,413-354-3558,413-354-6360,HAMPDEN
14144,Chester Fire Department,PO Box 370,,PO Box 370,Chester,VT,05143-0370,802-875-2211,,WINDSOR
32010,Chester Fire Department,PO Box 177,,PO Box 177,Chester,CA,96020-0177,530-258-3456,530-258-2064,PLUMAS
RA124,Chester Fire Department,1330 Swanwick ST,,,Chester,IL,62233-1314,618-826-1516,618-826-1516,RANDOLPH
12301,Chester Fire Department,156 Columbia ST,,,Chester,SC,29706-2915,803-385-2123,803-385-6757,CHESTER
23071,Chester Heights Fire Company,PO Box 42,,PO Box 42,Chester Heights,PA,19017-0042,610-459-4347,610-579-7496,DELAWARE
7010,Chester Hose Company,PO Box 214,,PO Box 214,Chester,CT,06412-0214,860-526-0019,,MIDDLESEX
23047,Chester Township Fire Company,2410 Concord RD,,,Chester Township,PA,19013-2449,610-497-3827,610-497-8973,DELAWARE
85001,Chester Township Fire Department,11942 N 300 E,,,North Manchester,IN,46962,260-982-4957,260-982-1975,WABASH
28207,Chester Township Fire Rescue,8552 Parkside DR,,,Chesterland,OH,44026-2643,440-729-9951,440-729-6261,GEAUGA
14103,Chester Township Volunteer Fire Department,5580 State Route 380,,,Wilmington,OH,45177-8566,937-283-1616,937-283-2002,CLINTON
14060,Chester Volunteer Fire Company,PO Box 506,,PO Box 506,Chester,NJ,07930-0506,908-879-5511,908-879-4713,MORRIS
15101,Chester Volunteer Fire Department,371 Carolina AVE,,,Chester,WV,26034-1127,304-387-1690,304-387-2795,HANCOCK
53103,Chester Volunteer Fire Department,PO Box 131,,PO Box 131,Chester,OH,45720-0131,740-985-4343,740-985-3696,MEIGS
48001,Chester-West Liberty Volunteer Fire Department,PO Box 591,,PO Box 591,Chester,MT,59522-0591,406-759-5743,406-759-5743,LIBERTY
48019,Chesterfield - Union Township Fire Department,207 E Main ST,,,Chesterfield,IN,46017-1336,765-378-7255,765-378-7285,MADISON
4100,Chesterfield Fire & Emergency Medical Services,PO Box 40,,PO Box 40,Chesterfield,VA,23832-0040,804-748-1360,804-751-9022,CHESTERFIELD
20290,Chesterfield Fire And Rescue,PO Box 95,,PO Box 95,Chesterfield,NH,03443-0095,603-363-4665,603-363-4665,CHESHIRE
15060,Chesterfield Fire Department,PO Box 28,,PO Box 28,Chesterfield,MA,1012,413-296-4049,413-296-4498,HAMPSHIRE
13203,Chesterfield Fire Department,112 Cotton ST,,PO Box 295,Chesterfield,SC,29709,843-623-2000,843-623-2132,CHESTERFIELD
1276,Chesterfield Fire Rescue,2160 HWY 18 US 64,,,Morganton,NC,28655,828-433-0357,828-433-0357,BURKE
3262,Chesterfield Hose Company,300 Bordentown-Chesterfield RD,,,Trenton,NJ,8620,609-291-9063,,MERCER
5003,Chesterfield Township Fire Department,33991 23 Mile RD,,,Chesterfield,MI,48047-4008,586-725-2233,586-725-4350,MACOMB
58201,"Chesterhill Volunteer Fire Department, Inc.",1455 ST RT 555,,PO Box 138,Chesterhill,OH,43728,740-554-6801,740-554-6702,MORGAN
64003,Chesterton Fire Department,702 Broadway,,,Chesterton,IN,46304-2229,219-926-7162,219-926-7164,PORTER
14006,Chestertown Volunteer Fire Company,PO Box 296,,PO Box 296,Chestertown,MD,21620-0296,410-778-3434,410-810-0348,KENT
57005,"Chestertown Volunteer Fire Department, Inc.",20 Church ST,,PO Box 382,Chestertown,NY,12817-0382,518-494-2662,518-494-5227,WARREN
D1810,Chesterville Fire/EMS  Department,409 Dutch Gap RD,,,Chesterville,ME,04938-3132,207-778-9633,207-778-2433,FRANKLIN
45171,Chestnut Hill Volunteer Fire Department,2418 McGaha Hollow RD,,PO Box 382,Dandridge,TN,37725,865-509-4488,,JEFFERSON
65110,Chestnut Ridge Volunteer Fire Company,PO Box 160,,PO Box 160,Stahlstown,PA,15687-0160,724-593-2206,724-593-2207,WESTMORELAND
