NAME,ADDRESS,CITY,STATE,LATITUDE,LONGITUDE
NORTHCREST MEDICAL CENTER,100 NORTHCREST DRIVE,SPRINGFIELD,TN,36.47848008,-86.88690193
JELLICO MEDICAL CENTER,188 HOSPITAL LANE,JELLICO,TN,36.57370136,-84.12854359
JOHNSON CITY MEDICAL CENTER,400 NORTH STATE OF FRANKLIN ROAD,JOHNSON CITY,TN,36.3078431,-82.38456264
WILLIAMSON MEDICAL CENTER,4321 CAROTHERS PARKWAY,FRANKLIN,TN,35.91616226,-86.81925004
"RIVERSIDE HOSPITAL OF LOUISIANA, INC.",13 HEYMAN LANE,ALEXANDRIA,LA,31.301332,-92.487302
RHEA MEDICAL CENTER,9400 RHEA COUNTY HIGHWAY,DAYTON,TN,35.52910134,-84.98177946
SAINT THOMAS RUTHERFORD HOSPITAL,1700 MEDICAL CENTER PARKWAY,MURFREESBORO,TN,35.86057912,-86.42503138
TENNOVA HEALTHCARE PHYSICIANS REGIONAL MEDICAL CENTER,900 EAST OAK HILL AVENUE,KNOXVILLE,TN,35.99238358,-83.92681776
BRISTOL REGIONAL MEDICAL CENTER,1 MEDICAL PARK BOULEVARD,BRISTOL,TN,36.58551645,-82.25692327
HANCOCK COUNTY HOSPITAL,1519 MAIN STREET,SNEEDVILLE,TN,36.53333298,-83.21510814
HOLSTON VALLEY MEDICAL CENTER,130 WEST RAVINE ROAD,KINGSPORT,TN,36.55410317,-82.55460725
COFFEY COUNTY HOSPITAL,801 NORTH 4TH STREET,BURLINGTON,KS,38.20227177,-95.73769964
STATEN ISLAND UNIVERSITY HOSPITAL - SOUTH,375 SEGUINE AVENUE,STATEN ISLAND,NY,40.51656928,-74.19646609
HOSP SAN CRISTOBAL,506 CARR ROAD,COTO LAUREL,PR,18.03967485,-66.54740673
OCHSNER REHABILITATION HOSPITAL,2614 JEFFERSON HWY,JEFFERSON,LA,29.9615422,-90.1542215
SOUTH CENTRAL KS MED CENTER,6401 PATTERSON PARKWAY,ARKANSAS CITY,KS,37.13299682,-97.03850329
WILSON MEDICAL CENTER,REECE CAMPUS 2600 OTTAWA ROAD,NEODESHA,KS,37.40957059,-95.70833215
THE UNIVERSITY OF KANSAS HEALTH SYSTEM GREAT BEND CAMPUS,514 CLEVELAND STREET,GREAT BEND,KS,38.35616569,-98.79071269
COMMUNITY HOSPITAL ONAGA AND ST MARYS CAMPUS,120 WEST 8TH STREET,ONAGA,KS,39.4959886,-96.17142807
AVAIL HEALTH LAKE CHARLES HOSPITAL,3730 NELSON ROAD,LAKE CHARLES,LA,30.19037837,-93.25037016
HOSPITAL BUEN SAMARITANO,CARR 2 KM 141-1 AVE SEVERIANO CUEVAS 18 BO. CAIMITAL BAJO,AGUADILLA,PR,18.44280934,-67.15088511
HOSP BELLA VISTA,STATE ROAD 349,MAYAGUEZ,PR,18.18676401,-67.11919677
HOSP DE LA CONCEPCION,CARR 2 KM 173 BO CAIN ALTO,SAN GERMAN,PR,18.09880911,-67.03816476
CENTRO DE SALUD INTEGRAL DE OROCOVIS,PR-155 AVE LUIS MUÑOZ MARIN,OROCOVIS PUEBLO,PR,18.226651,-66.39434514
HOSP GENERAL MENONITA - CAYEY,4 H MENDOZA STREET,CAYEY,PR,18.1240463,-66.14748152
ASHFORD PRESBYTERIAN COMMUNITY HOSPITAL INC,1451 AVENUE ASHFORD,SAN JUAN,PR,18.45599329,-66.06546953
MANATI MEDICAL CENTER DR ALEJANDRO OTERO LOPEZ,CALLE HERNANDEZ CARRION 668,MANATI PUEBLO,PR,18.43455435,-66.4824951
ADMINISTRACION DE SERVICIOS MEDICOS DE PR (ASEM),CENTRO MEDICO,MONACILLO URBANO,PR,18.3955074,-66.07284079
UTMB ANGLETON-DANBURY MEDICAL CENTER,132 EAST HOSPITAL DRIVE,ANGLETON,TX,29.1838554,-95.40543329
ST. DAVID'S MEDICAL CENTER,919 EAST 32ND STREET,AUSTIN,TX,30.28989221,-97.72604637
MEDICAL CITY OF ARLINGTON,3301 MATLOCK ROAD,ARLINGTON,TX,32.69232531,-97.11271638
TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE,108 DENVER TRAIL,AZLE,TX,32.88096648,-97.53309865
HOUSTON METHODIST BAYTOWN HOSPITAL,4401 GARTH ROAD,BAYTOWN,TX,29.76911627,-94.97971661
MEMORIAL HERMANN ORTHOPEDIC AND SPINE HOSPITAL,5410 WEST LOOP SOUTH,BELLAIRE,TX,29.72380542,-95.46121904
BAYSIDE COMMUNITY HOSPITAL,200 HOSPITAL DRIVE,ANAHUAC,TX,29.7525574,-94.68744667
NORTH AUSTIN MEDICAL CENTER,12221 MOPAC SERVICE ROAD,AUSTIN,TX,30.41148803,-97.7062274
ST MARYS HOSPITAL,400 NORTH PLEASANT AVENUE,CENTRALIA,IL,38.53028143,-89.11720631
HOSP ONCOLOGICO DR ISAAC GONZALEZ MARTINEZ,CENTRO MEDICO,MONACILLO URBANO,PR,18.39633673,-66.07253398
HIMA SAN PABLO CUPEY,138 AVENUE WINSTON CHURCHILL,SAN JUAN,PR,18.37259235,-66.04622543
UNION CORRECTIONAL INSTITUTE HOSPITAL,7819 NW 228TH ST,RAIFORD,FL,30.06705191,-82.19385038
WINNIE PALMER HOSPITAL FOR WOMEN & BABIES,83 W MILLER ST,ORLANDO,FL,28.52433987,-81.3791536
WEST FLORIDA REHABILITATION INSTITUTE,8391 N DAVIS HWY,PENSACOLA,FL,30.51634012,-87.21686302
ST JOSEPH'S WOMEN'S HOSPITAL,3030 W DR ML KING JR BLVD,TAMPA,FL,27.98023088,-82.49220872
EASTLAND MEMORIAL HOSPITAL,304 SOUTH DAUGHERTY AVENUE,EASTLAND,TX,32.39982064,-98.82114248
THE HOSPITALS OF PROVIDENCE EAST CAMPUS,3280 JOE BATTLE BOULEVARD,EL PASO,TX,31.79037063,-106.2645055
FREESTONE MEDICAL CENTER,125 NEWMAN STREET,FAIRFIELD,TX,31.72534374,-96.17059823
CONNALLY MEMORIAL MEDICAL CENTER,499 10TH STREET,FLORESVILLE,TX,29.15850063,-98.17497259
BAYLOR SURGICAL HOSPITAL AT FORT WORTH,750 12TH AVENUE,FORT WORTH,TX,32.73685764,-97.34897946
BAYLOR SCOTT & WHITE MEDICAL CENTER - FRISCO,5601 WARREN PARKWAY,FRISCO,TX,33.10449021,-96.83782532
NORTH TEXAS MEDICAL CENTER,1900 HOSPITAL BOULEVARD,GAINESVILLE,TX,33.64636264,-97.1627319
HILL COUNTRY MEMORIAL HOSPITAL,1020 STATE HIGHWAY 16,FREDERICKSBURG,TX,30.262519,-98.88184327
HUNT REGIONAL MEDICAL CENTER GREENVILLE,4215 JOE RAMSEY BOULEVARD,GREENVILLE,TX,33.12231408,-96.12397074
MEMORIAL HOSPITAL,1110 N SARAH DEWITT DRIVE,GRAPEVINE,TX,29.51759211,-97.42934318
GRAHAM REGIONAL MEDICAL CENTER,1301 MONTGOMERY ROAD,GRAPEVINE,TX,33.08958211,-98.58396742
LAVACA MEDICAL CENTER,1400 NORTH TEXANA STREET,HARLINGEN,TX,29.45740267,-96.93821283
MEDINA REGIONAL HOSPITAL,3100 AVENUE E,HOUSTON,TX,29.33462296,-99.13448254
CHI ST LUKES HEALTH BAYLOR COLLEGE OF MEDICINE MEDICAL CENTER,6720 BERTNER STREET,GRANBURY,TX,29.70773116,-95.40044497
MEMORIAL HERMANN NORTHEAST HOSPITAL,18951 MEMORIAL NORTH,HUMBLE,TX,29.99551204,-95.27612889
CHRISTUS JASPER MEMORIAL HOSPITAL,1275 MARVIN HANCOCK DRIVE,JASPER,TX,30.90789453,-94.00955331
KIMBLE HOSPITAL,349 REID RD,JUNCTION,TX,30.49847308,-99.78056091
MEMORIAL HERMANN KATY HOSPITAL,23900 KATY FREEWAY,KATY,TX,29.787311,-95.78625453
PETERSON REGIONAL MEDICAL CENTER,551 HILL COUNTRY DIRVE,KERRVILLE,TX,30.04346599,-99.1528689
ASCENSION SETON MEDICAL CENTER HAYS,6001 KYLE PARKWAY,KYLE,TX,30.00840999,-97.85297745
COVENANT HOSPITAL LEVELLAND,1900 COLLEGE AVENUE,LEVELLAND,TX,33.57268652,-102.3688972
BAYLOR SCOTT AND WHITE HEALTHCARE - LLANO,200 WEST OLLIE STREET,LLANO,TX,30.74264962,-98.67765575
CHRISTUS GOOD SHEPHERD MEDICAL CENTER - LONGVIEW,700 EAST MARSHALL AVENUE,LONGVIEW,TX,32.50074986,-94.72985399
METHODIST MCKINNEY HOSPITAL,8000 WEST ELDORADO PARKWAY,MCKINNEY,TX,33.17652529,-96.7222958
MISSION REGIONAL MEDICAL CENTER,900 SOUTH BRYAN ROAD,MISSION,TX,26.1963482,-98.31431722
TITUS REGIONAL MEDICAL CENTER,2001 NORTH JEFFERSON AVENUE,MOUNT PLEASANT,TX,33.17559939,-94.97117494
HOUSTON METHODIST CLEAR LAKE HOSPITAL,18300 HOUSTON METHODIST DRIVE,NASSAU BAY,TX,29.54924852,-95.08676363
NACOGDOCHES MEDICAL CENTER,4920 N. E. STALLINGS DRIVE,NACOGDOCHES,TX,31.65314431,-94.65387312
SAINT CLARE'S HOSPITAL,915 EAST 5TH STREET,ALTON,IL,38.89080496,-90.17092928
ODESSA REGIONAL MEDICAL CENTER SOUTH CAMPUS,900 EAST 4TH STREET,ODESSA,TX,31.85173303,-102.3595728
PALESTINE REGIONAL MEDICAL CENTER,2900 SOUTH LOOP 256,PALESTINE,TX,31.73259668,-95.62722756
PARIS REGIONAL MEDICAL CENTER - SOUTH CAMPUS,820 CLARKSVILLE STREET,PARIS,TX,33.6596692,-95.54722893
GOOD SHEPHERD MEDICAL CENTER - LINDEN,404 NORTH KAUFMAN STREET,LINDEN,TX,33.01398751,-94.36388358
PAMPA REGIONAL MEDICAL CENTER,ONE MEDICAL PLAZA,PAMPA,TX,35.57247216,-100.9647965
HCA HOUSTON HEALTHCARE SOUTHEAST,4000 SPENCER HIGHWAY,PASADENA,TX,29.66106027,-95.1838147
SURGERY SPECIALTY HOSPITALS OF AMERICA SOUTHEAST HOUSTON,4301-B VISTA RD.,PASADENA,TX,29.65912193,-95.17795651
ST. LUKE'S PATIENTS MEDICAL CENTER,4600 EAST SAM HOUSTON PARKWAY SOUTH,PASADENA,TX,29.64109794,-95.1622144
COVENANT HOSPITAL PLAINVIEW,2601 DIMMITT ROAD,PLAINVIEW,TX,34.20675672,-101.7329457
REEVES COUNTY HOSPITAL,2323 TEXAS STREET,PECOS,TX,31.40118876,-103.5140298
TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO,6200 WEST PARKER ROAD,PLANO,TX,33.04366355,-96.83647095
FRIO REGIONAL HOSPITAL,200 IH 35 SOUTH,PEARSALL,TX,28.89630465,-99.1172572
METHODIST RICHARDSON MEDICAL CENTER,401 WEST CAMPBELL ROAD,RICHARDSON,TX,32.97431653,-96.72660111
OAKBEND MEDICAL CENTER,1705 JACKSON STREET,RICHMOND,TX,29.57632884,-95.77093702
BAYLOR SCOTT AND WHITE HOSPITAL - ROUND ROCK,300 UNIVERSITY BOULEVARD,ROUND ROCK,TX,30.56339584,-97.68478229
BAYLOR SCOTT & WHITE MEDICAL CENTER - LAKE POINTE,6800 SCENIC DRIVE,ROWLETT,TX,32.91801933,-96.50871907
VALLEY WEST COMMUNITY HOSPITAL,1302 NORTH MAIN STREET,SANDWICH,IL,41.65719013,-88.62073482
SOUTHWEST GENERAL HOSPITAL,7400 BARLITE BOULEVARD,SAN ANTONIO,TX,29.35353715,-98.54470772
FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,9522 HUEBNER ROAD,SAN ANTONIO,TX,29.53024011,-98.58975132
METHODIST STONE OAK HOSPITAL,1139 EAST SONTERRA BOULEVARD,SAN ANTONIO,TX,29.61586221,-98.47443477
METHODIST TEXSAN HOSPITAL,6700 IH 10 WEST,SAN ANTONIO,TX,29.48986399,-98.54757258
BAPTIST HEALTH MADISONVILLE,900 HOSPITAL DRIVE,MADISONVILLE,KY,37.34059784,-87.49334945
ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,9901 MEDICAL CENTER DRIVE,ROCKVILLE,MD,39.09784414,-77.19790423
WILSON N JONES REGIONAL MEDICAL CENTER,500 NORTH HIGHLAND AVENUE,SHERMAN,TX,33.63709739,-96.62382165
MEMORIAL HERMANN FIRST COLONY HOSPITAL,16000 SOUTHWEST FREEWAY,SUGAR LAND,TX,29.59811706,-95.62434849
MEMORIAL HERMANN THE WOODLANDS HOSPITAL,9250 PINECROFT DRIVE,THE WOODLANDS,TX,30.17433545,-95.454342
HCA HOUSTON HEALTHCARE TOMBALL,605 HOLDERRIETH BOULEVARD,TOMBALL,TX,30.08730408,-95.62369558
EAST TEXAS MEDICAL CENTER TRINITY,317 PROSPECT DRIVE,TRINITY,TX,30.95686367,-95.38104923
UVALDE MEMORIAL HOSPITAL,1025 GARNER FIELD ROAD,UVALDE,TX,29.21411967,-99.76783721
ASCENSION PROVIDENCE HEALTH CENTER,6901 MEDICAL PARKWAY,WACO,TX,31.51425066,-97.19949097
HOUSTON PHYSICIANS' HOSPITAL,333 NORTH TEXAS AVENUE,WEBSTER,TX,29.53384927,-95.12619308
PARKVIEW HOSPITAL,901 SOUTH SWEETWATER STREET,WHEELER,TX,35.43933961,-100.2703597
NORTH RUNNELS HOSPITAL,7821 TEXAS 153,WINTERS,TX,31.94922151,-99.95913544
BAYLOR MEDICAL CENTER AT UPTOWN,2727 EAST LEMMON AVENUE,DALLAS,TX,32.80424638,-96.79495495
BAYLOR SCOTT & WHITE MEDICAL CENTER - MCKINNEY,5252 WEST UNIVERSITY DRIVE,MCKINNEY,TX,33.22097161,-96.68260102
HOUSTON METHODIST WEST HOSPITAL,18500 KATY FREEWAY,HOUSTON,TX,29.78715662,-95.69782808
CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,455 ST MICHAELS DRIVE,SANTA FE,NM,35.65944099,-105.9457805
HOUSTON METHODIST HOSPTIAL,6565 FANNIN STREET,HOUSTON,TX,29.71052314,-95.39893888
HOUSTON METHODIST WILLOWBROOK HOSPITAL,18220 TOMBALL PARKWAY,HOUSTON,TX,29.96646877,-95.55114453
DALLAS MEDICAL CENTER,7 MEDICAL PARKWAY,DALLAS,TX,32.91526053,-96.86979587
RENAISSANCE HOSPITAL TERRELL,1551 HIGHWAY 34 SOUTH,TERRELL,TX,32.71061357,-96.27915304
BAYLOR SCOTT & WHITE EMERGENCY HOSPITAL AT CEDAR PARK,900 EAST WHITESTONE BOULEVARD,CEDAR PARK,TX,30.5233139,-97.81984631
BAYLOR SCOTT & WHITE MEDICAL CENTER - LAKEWAY,100 MEDICAL PARKWAY,AUSTIN,TX,30.33294103,-97.97152991
BAYLOR SCOTT & WHITE MEDICAL CENTER - HILLCREST,100 HILLCREST MEDICAL BLVD,WACO,TX,31.48918306,-97.15754299
TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE,10864 TEXAS HEALTH TRAIL,FORT WORTH,TX,32.93068061,-97.30991228
ST DAVID'S GEORGETOWN HOSPITAL,2000 SCENIC DR,GEORGETOWN,TX,30.62609475,-97.68871248
ST LUKE'S BAPTIST HOSPITAL,7930 FLOYD CURL DR,SAN ANTONIO,TX,29.51254941,-98.57491087
HARRIS HEALTH SYSTEM LYNDON B JOHNSON GENERAL HOSP,5656 KELLEY ST,HOUSTON,TX,29.81193328,-95.3118817
EAST HOUSTON REGIONAL MED CTR,13111 EAST FWY,HOUSTON,TX,29.77236697,-95.19334666
BAPTIST EMERGENCY HOSPITAL - ZARZAMORA,7719 IH 35 SOUTH,SAN ANTONIO,TX,29.35182455,-98.53302117
MEMORIAL HERMANN PEARLAND HOSPITAL,16100 SOUTH FREEWAY,PEARLAND,TX,29.56350045,-95.38867972
BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,810 W HIGHWAY 71,MARBLE FALLS,TX,30.51281125,-98.30453796
EMINENT MEDICAL CENTER,1351 W PRESIDENT BUSH HWY,RICHARDSON,TX,32.99919628,-96.75579418
MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,1275 YORK AVENUE,NEW YORK,NY,40.76427432,-73.95659552
SCENIC MOUNTAIN MEDICAL CENTER,1601 WEST 11TH PLACE,BIG SPRING,TX,32.23637785,-101.4916755
LEGENT HOSPITAL FOR SPECIAL SURGERY,4100 MAPLESHADE LANE,PLANO,TX,33.00140185,-96.77180156
BAPTIST EMERGENCY HOSPITAL,16977 I-35 NORTH,SCHERTZ,TX,29.59427531,-98.29008482
RESOLUTE HEALTH,555 CREEKSIDE CROSSING,NEW BRAUNFELS,TX,29.72200582,-98.06999717
FIRST BAPTIST MEDICAL CENTER,8111 MEADOW ROAD,DALLAS,TX,32.88843795,-96.7665543
STEWARD HILLSIDE REHABILITATION HOSPITAL,8747 SQUIRES LANE NE,WARREN,OH,41.25075354,-80.7324621
SELECT SPECIALTY HOSPITAL - YOUNGSTOWN,1044 BELMONT AVE,YOUNGSTOWN,OH,41.11393419,-80.65840638
RIDGEVIEW HOSPITAL,17872 LINCOLN HIGHWAY,MIDDLE POINT,OH,40.87740052,-84.47896695
BAYLOR SCOTT & WHITE MEDICAL CENTER AT WAXAHACHIE,2400 N I-35 E,WAXAHACHIE,TX,32.42751892,-96.85791008
MEMORIAL HERMANN SURGICAL HOSPITAL FIRST COLONY,16906 SOUTH WEST FREEWAY,SUGAR LAND,TX,29.58990316,-95.63643615
BAY AREA REGIONAL MEDICAL CENTER,200 BLOSSOM STREET,WEBSTER,TX,29.54477125,-95.12586399
SOUTH TEXAS SURGICAL HOSPITAL,6130 PARKWAY DRIVE,CORPUS CHRISTI,TX,27.68604136,-97.37554712
FIRST TEXAS HOSPITAL,9922 LOUETTA RD,HOUSTON,TX,30.0005391,-95.56274483
HARRIS HEALTH SYSTEM QUENTIN MEASE HOSPITAL,3601 NORTH MACGREGOR WAY,HOUSTON,TX,29.71103908,-95.35980642
ST CHARLES - MADRAS,470 NE A STREET,MADRAS,OR,44.63787373,-121.1207254
FAITH COMMUNITY HOSPITAL,215 CHISHOLM TRAIL,JACKSBORO,TX,33.23066769,-98.16693865
THE CORPUS CHRISTI MEDICAL CENTER - NORTHWEST,13725 NORTHWEST BLVD,CORPUS CHRISTI,TX,27.85491733,-97.63542317
REAGAN MEMORIAL HOSPITAL,1300 N MAIN AVE,BIG LAKE,TX,31.20401254,-101.4610176
MEDICAL CITY OF ALLIANCE,3101 NORTH TARRANT PARKWAY,FORT WORTH,TX,32.90029252,-97.31392872
JOHNSTON MEMORIAL HOSPITAL,16000 JOHNSTON MEMORIAL DRIVE,ABINGDON,VA,36.72291339,-81.91212146
ST. LUKE'S REHABILITATION,600 N. ROBBINS ROAD,BOISE,ID,43.61558765,-116.1915765
ST. LUKE'S WOOD RIVER MEDICAL CENTER,100 HOSPITAL DRIVE,KETCHUM,ID,43.64832025,-114.350021
FRANCISCAN ST FRANCIS HEALTH - CARMEL,12188 B NORTH MERIDIAN STREET,CARMEL,IN,39.96803205,-86.15870702
ESKENAZI HEALTH,720 ESKENAZI AVENUE,INDIANAPOLIS,IN,39.77788276,-86.18398589
LAKE GRANBURY MEDICAL CENTER,1310 PALUXY ROAD,GREENVILLE,TX,32.43248931,-97.8038485
LIMESTONE MEDICAL CENTER,701 MCCLINTIC DR.,HAMLIN,TX,31.53271119,-96.53121111
NAVAL MEDICAL CENTER PORTSMOUTH,620 JOHN PAUL JONES CIRCLE,PORTSMOUTH,VA,36.84541393,-76.30576791
LAMB HEALTHCARE CENTER,1500 SOUTH SUNSET AVENUE,LITTLEFIELD,TX,33.91170687,-102.3442949
UNIVERSITY OF MINNESOTA MEDICAL CENTER-FAIRVIEW-EAST BANK-ER,500 HARVARD ST SE,MINNEAPOLIS,MN,44.97237352,-93.23194052
EDWARD PLAINFIELD,24600 W 127TH ST,PLAINFIELD,IL,41.65282059,-88.21737981
TEXAS HEALTH PRESBYTERIAN HOSPITAL ROCKWALL,3150 HORIZON ROAD,ROCKWALL,TX,32.8842895,-96.46622551
VA MEDICAL CENTER - KANSAS CITY,4801 LINWOOD BLVD,KANSAS CITY,MO,39.0640641,-94.5264144
LAWTON INDIAN HOSPITAL,1515 LAWRIE TATUM ROAD,LAWTON,OK,34.62759832,-98.38424195
VA MEDICAL CENTER - OMAHA,4101 WOOLWORTH AVE,OMAHA,NE,41.24253129,-95.9743765
ATRIUM MEDICAL CENTER AT CORINTH,3305 CORINTH PARKWAY,CORINTH,TX,33.15366153,-97.05667447
KINDRED HOSPITAL HOUSTON NORTHWEST,11297 FALLBROOK DRIVE,HOUSTON,TX,29.92440962,-95.58824613
HCA HOUSTON HEATHCARE SPECIALTY HOSPITAL,1300 BINZ STREET,HOUSTON,TX,29.72323923,-95.38702269
SE TEXAS ER AND HOSPITAL,19211 MCKAY DRIVE,HUMBLE,TX,29.99867547,-95.27622266
PAM SPECIALTY HOSPITAL OF LULING,200 MEMORIAL DRIVE,LULING,TX,29.67408592,-97.6550844
DUBUIS HOSPITAL OF PARIS,820 CLARKSVILLE STREET,PARIS,TX,33.68784764,-95.54823349
KINDRED HOSPITAL - SAN ANTONIO,3636 MEDICAL DRIVE,SAN ANTONIO,TX,29.52248579,-98.55637881
KINDRED HOSPITAL SUGAR LAND,1550 FIRST COLONY BOULEVARD,SUGAR LAND,TX,29.60023248,-95.63826118
ATRIUM MEDICAL CENTER,11929 WEST AIRPORT BOULEVARD,STAFFORD,TX,29.64684751,-95.58827701
PAM SPECIALTY HOSPITAL OF VICTORIA NORTH,102 MEDICAL DRIVE,VICTORIA,TX,28.85499709,-97.02196107
BAYLOR SCOTT & WHITE CONTINUING CARE HOSPITAL,546 KEGLEY ROAD,TEMPLE,TX,31.11828493,-97.39929271
"GEORGE H. O'BRIEN, JR. VA MEDICAL CENTER",300 VETERANS BLVD,BIG SPRING,TX,32.23103861,-101.4727695
ALLEGIANCE HEALTH CENTER PERMIAN BASIN,207 TRADEWINDS BOULEVARD,MIDLAND,TX,31.98171367,-102.154371
AURORA SINAI MEDICAL CENTER,945 N 12TH ST,MILWAUKEE,WI,43.04249014,-87.9278109
VA HEALTH CARE CENTER (HCC) AT HARLINGEN,2601 VETERANS DR,HARLINGEN,TX,26.17104215,-97.66727696
NIX HEALTH CARE SYSTEM,414 NAVARRO STREET,SAN ANTONIO,TX,29.42567199,-98.489416
KAHUKU MEDICAL CENTER,56-117 PUALALEA ST,KAHUKU,HI,21.67656379,-157.9542967
KINGWOOD PINES HOSPITAL,2001 LADBROOK DRIVE,KINGWOOD,TX,30.04449762,-95.22998414
SUNRISE CANYON,1950 ASPEN AVENUE,LUBBOCK,TX,33.57294164,-101.8075028
AUSTIN OAKS HOSPITAL,1407 WEST STASSNEY LANE,AUSTIN,TX,30.21159597,-97.79237579
DALLAS BEHAVIORAL HEALTHCARE HOSPITAL LLC,800 KIRNWOOD DRIVE,DE SOTO,TX,32.6424243,-96.87476008
OCEANS BEHAVIORAL HOSPITAL OF THE PERMIAN BASIN,3300 SOUTH FM 1788,MIDLAND,TX,31.92287504,-102.2221648
PALMS BEHAVIORAL HEALTH,613 VICTORIA LANE,HARLINGEN,TX,26.16357422,-97.67216229
BEHAVIORAL MEDICINE AT RENAISSANCE,5510 RAPHAEL DRIVE,EDINBURG,TX,26.25310267,-98.20115591
THE PAVILIION,7201 EVANS,AMARILLO,TX,35.20065636,-101.9185355
UT HEALTH EAST TEXAS BEHAVIORAL HEALTH CENTER,4101 UNIVERSITY BOULEVARD,TYLER,TX,32.31119781,-95.2487673
GEORGETOWN BEHAVIORAL HEALTH INSTITUE,3101 S AUSTIN AVE,GEORGETOWN,TX,30.61490177,-97.68063183
NORTH HAWAII COMMUNITY HOSPITAL,67-1125 MAMALAHOA HWY,KAMUELA,HI,20.0223089,-155.6644209
CHI ST JOSEPH REHAB HOSPITAL,1600 JOSEPH DRIVE,BRYAN,TX,30.65993299,-96.3507145
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DALLAS,7930 NORTHAVEN,DALLAS,TX,32.90107033,-96.77052204
HEALTHSOUTH REHABILITATION HOSPITAL OF FORTH WORTH,1212 WEST LANCASTER,FORT WORTH,TX,32.747384,-97.3395734
ENCOMPASS HEALTH REHABILITATION OF CITY VIEW,6701 OAKMONT BOULEVARD,FORT WORTH,TX,32.6620118,-97.41279008
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF HUMBLE,19002 MCKAY DRIVE,HUMBLE,TX,29.99373522,-95.2773293
CHRISTUS TRINITY MOTHER FRANCES REHABILITATION HOSPITAL,3131 TROUP HIGHWAY,TYLER,TX,32.31487664,-95.2777701
KINDRED REHABILITATION HOSPITAL CLEAR LAKE,655 EAST MEDICAL CENTER BOULEVARD,WEBSTER,TX,29.54759011,-95.11754744
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF WICHITA FALLS,3901 ARMORY ROAD,WICHITA FALLS,TX,33.87387587,-98.48467593
ICARE REHABILTATION HOSPITAL,3100 PETERS COLONY ROAD,FLOWER MOUND,TX,33.03536409,-97.07726192
BAYLOR INSTITUTE FOR REHABILITATION AT NORTHWEST DALLAS,1340 EMPIRE CENTRAL DRIVE,DALLAS,TX,32.82601681,-96.86986391
PAM REHABILITATION HOSPITAL OF VICTORIA,101 JAMES COLEMAN DRIVE,VICTORIA,TX,28.8557836,-97.02265217
LAS PALMAS REHABILITATION HOSPITAL,300 WAYMORE,EL PASO,TX,31.78905323,-106.508826
REBA MCENTIRE CENTER FOR REHABILITATION,1200 REBA MCENTIRE LANE,DENISON,TX,33.77021768,-96.55128107
WARM SPRINGS REHABILITATION HOSPITAL OF KYLE,5980 KYLE PARKWAY,KYLE,TX,30.00839095,-97.85628014
PROVIDENCE HOSPITAL,230 CALLE DEL NORTE,LAREDO,TX,27.55637042,-99.49195932
PHYSICIANS SURGICAL HOSPITAL - QUAIL CREEK,6819 PLUM CREEK DRIVE,AMARILLO,TX,35.21042221,-101.9127795
NORTHWEST HILLS SURGICAL HOSPITAL,6818 AUSTIN CENTER BOULEVARD,AUSTIN,TX,30.35051386,-97.75171622
USMD HOSPITAL AT ARLINGTON,801 WEST I-20,ARLINGTON,TX,32.67980941,-97.11791224
BAYLOR ORTHOPEDIC AND SPINE HOSPITAL AT ARLINGTON,707 HIGHLANDER BOULEVARD,ARLINGTON,TX,32.68289778,-97.11697677
UNIVERSITY OF TEXAS M.D. ANDERSON CANCER CENTER,"1515 HOLCOMBE BOULEVARD, BOX 43",HOUSTON,TX,29.70703136,-95.39707717
LUBBOCK HEART HOSPITAL,4810 NORTH LOOP 289,LUBBOCK,TX,33.60321011,-101.9155688
SOUTH TEXAS SPINE AND SURGICAL HOSPITAL,18600 NORTH HARDY OAK BOULEVARD,SAN ANTONIO,TX,29.61325343,-98.47736715
BAYLOR HEART AND VASCULAR CENTER,621 N. HALL STREET,DALLAS,TX,32.78817065,-96.78119411
LEGENT ORTHOPEDIC + SPINE,5330 NORTH LOOP 1604 WEST,SAN ANTONIO,TX,29.59073867,-98.59035687
MCALLEN HEART HOSPITAL,1900 S D ST,MCALLEN,TX,26.18368016,-98.21822053
METHODIST SPECIALTY & TRANSPLANT HOSPITAL,8026 FLOYD CURL DR,SAN ANTONIO,TX,29.51422403,-98.57559924
ALTUS BAYTOWN HOSPITAL,1455 MANOR DR,BAYTOWN,TX,29.7719621,-94.98134416
PHYSICIANS SURGICAL HOSPITAL - PANHANDLE CAMPUS,7100 WEST 9TH STREET,AMARILLO,TX,35.20661691,-101.9186901
SHELBY BAPTIST MEDICAL CENTER,"1000 FIRST STREET, NORTH",ALABASTER,AL,33.25236487,-86.81304301
